Source,Target,Weight
nutmeg,bitter_orange,5
nutmeg,butter,7
nutmeg,citrus_juice,9
nutmeg,tarragon,5
nutmeg,horse_mackerel,5
nutmeg,cayenne,17
nutmeg,parsley,9
nutmeg,botrytized_wine,8
nutmeg,pouching_tea,17
nutmeg,ethiopian_pepper,17
nutmeg,eucalyptus_oil,8
nutmeg,roasted_green_tea,17
nutmeg,hop,10
nutmeg,ginger,22
nutmeg,celery,8
nutmeg,mushroom,7
nutmeg,blueberry,10
nutmeg,dried_black_tea,17
nutmeg,white_wine,11
nutmeg,sparkling_wine,8
nutmeg,raw_bean,7
nutmeg,camphor,6
nutmeg,scotch_spearmint_oil,5
nutmeg,spanish_sage,5
nutmeg,cocoa,9
nutmeg,pepper,17
nutmeg,thyme,9
nutmeg,marjoram,11
nutmeg,pike,5
nutmeg,cranberry,14
nutmeg,citrus_peel,14
nutmeg,raspberry,15
nutmeg,clary_sage,11
nutmeg,green_bell_pepper,17
nutmeg,tomato,11
nutmeg,black_chokeberry,8
nutmeg,buckwheat,6
nutmeg,blackberry,14
nutmeg,dill_seed,12
nutmeg,chestnut_flower,2
nutmeg,sage,5
nutmeg,andropogon_gragrans,1
nutmeg,malagueta_pepper,17
nutmeg,petitgrain_lemon_oil,1
nutmeg,guinea_pepper,17
nutmeg,echinacea,1
nutmeg,neroli_bigarade,1
nutmeg,citrus_peel_oil,14
nutmeg,lovage,9
nutmeg,ceylon_tea_citronella_oil,1
nutmeg,nemuaron_humboldtii_oil,1
nutmeg,eucalyptus_polibrac_tea_oil,1
nutmeg,araucaria_cunninghamii,1
nutmeg,eucalyptus_bakeries_oil,1
nutmeg,ceylon_tea_cinnamon_leaf,1
nutmeg,scotch_spearmint,5
nutmeg,mexican_lime,14
nutmeg,asarum_europaeum_root_oil,1
nutmeg,flower,2
nutmeg,satsuma,12
nutmeg,artemisia_herba_alba,2
nutmeg,eucalyptus_globulus,4
nutmeg,clove,11
nutmeg,mandarin,13
nutmeg,holy_basil,2
nutmeg,curcuma_aromatica,1
nutmeg,buchu_oil,9
nutmeg,pelargonium_capitaux,1
nutmeg,seed,12
nutmeg,hyacinth,3
nutmeg,russian_peppermint_oil,2
nutmeg,citrus_oil,3
nutmeg,pennyroyal,2
nutmeg,eucalyptus_globulus_oil,1
nutmeg,cascarilla,1
nutmeg,champaca,2
nutmeg,mandarin_oil,1
nutmeg,geranium,5
nutmeg,english_peppermint_oil,1
nutmeg,myrrh_oil,1
nutmeg,myrrh,3
nutmeg,picea_alba_oil,1
nutmeg,almond_flower,2
nutmeg,jasmine,5
nutmeg,boldo_leaf,1
nutmeg,apricot,13
nutmeg,lavender,8
nutmeg,celery_seed,5
nutmeg,tuberose,3
nutmeg,chamomile,2
nutmeg,cayenne_bois_de_rose,2
nutmeg,eucalyptus_hemilampra,1
nutmeg,cinnamon_leaf,3
nutmeg,eucalyptus_australianavar_oil,1
nutmeg,satureia_thymera,1
nutmeg,cupressaceae_oil,2
nutmeg,peru_balsam,2
nutmeg,chinese_star_anise,4
nutmeg,star_anise_oil,2
nutmeg,east_african_geranium,2
nutmeg,thuja_occidentalis_oil,1
nutmeg,petitgrain_bigarade,2
nutmeg,monarda_punctata_oil,1
nutmeg,artemisia_cina,1
nutmeg,mastic_gum_leaf_oil,6
nutmeg,bay,1
nutmeg,cupressus_macrocarpa_oil,1
nutmeg,luraceae_oil,1
nutmeg,melaleuca_bracteata_leaf,1
nutmeg,cardamom_oil,1
nutmeg,east_indian_geranium,2
nutmeg,clove_oil,3
nutmeg,california_laurel_oil,1
nutmeg,nutmeg_oil,1
nutmeg,bitter_fennel,1
nutmeg,laurel_leaf,2
nutmeg,melaleuca_trichostachya_oil,1
nutmeg,myrtle,13
nutmeg,dried_parsley,9
nutmeg,sperm_whale_oil,1
nutmeg,american_peppermint,2
nutmeg,filipendula_ulmaria_flower,2
nutmeg,lemon_peel,3
nutmeg,key_lime_leaf,1
nutmeg,cilantro,5
nutmeg,pimenta,1
nutmeg,achillea_micrantha_oil,1
nutmeg,barosma_pulchella_oil,1
nutmeg,petitgrain,4
nutmeg,california_pepper,17
nutmeg,rapeseed,12
nutmeg,ocimum_gratissimum,2
nutmeg,artemisia_santolinifolia,1
nutmeg,abies_sibirica,1
nutmeg,sassafras_root_oil,1
nutmeg,lemongrass_oil,2
nutmeg,mastic_gum_oil,3
nutmeg,jasminum_grandiflorum,2
nutmeg,clary_sage_oil,2
nutmeg,luvunga_scadens_oil,1
nutmeg,chinese_star_anise_oil,2
nutmeg,dill_blossom,2
nutmeg,salvia_triloba_oil,1
nutmeg,thuja_occidentalis,1
nutmeg,cinnamomum_oliveri_leaf,1
nutmeg,basil,5
nutmeg,leaf,7
nutmeg,violet_flower_oil,1
nutmeg,calamus,9
nutmeg,chive,3
nutmeg,daffodil,2
nutmeg,benzoin,2
nutmeg,cryptomeria_japonica,1
nutmeg,laurel,13
nutmeg,citrus,12
nutmeg,java_citronella_oil,3
nutmeg,finocchoi_fennel_oil,1
nutmeg,american_peppermint_oil,2
nutmeg,german_chamomile_oil,2
nutmeg,caraway,2
nutmeg,ylangylang,3
nutmeg,eucalyptus_dives_oil,1
nutmeg,rosemary,12
nutmeg,dacrydium_franklinii_oil,1
nutmeg,litsea_guatemalensis_oil,1
nutmeg,caraway_seed,2
nutmeg,melaleuca_oil,1
nutmeg,mastic_gum,3
nutmeg,ocimum_viride,1
nutmeg,turmeric,6
nutmeg,cupressaceae,2
nutmeg,artemisia_maritime_oil,1
nutmeg,cumin,9
nutmeg,tabasco_pepper,17
nutmeg,helichrysum_angustifolium,1
nutmeg,calabash_nutmeg,3
nutmeg,bulgarian_clary_sage_oil,1
nutmeg,spanish_origanum,1
nutmeg,melaleuca_paucifiora_oil,1
nutmeg,eucalyptus_dives,3
nutmeg,cruciferae_seed,12
nutmeg,chicory_root,2
nutmeg,eucalyptus,11
nutmeg,rosemary_oil,1
nutmeg,mentha_citrata,1
nutmeg,buchu,9
nutmeg,tulip,2
nutmeg,asarum_canadense_root_oil,1
nutmeg,thymus_caespeititius,1
nutmeg,cardamom,18
nutmeg,orange_flower,2
nutmeg,mentha_silvestris_oil,1
nutmeg,tobacco_flower,1
nutmeg,lantana_camara_oil,1
nutmeg,american_sassafras_oil,1
nutmeg,japanese_star_anise,4
nutmeg,mandarin_peel,2
nutmeg,winter_savory,1
nutmeg,thymus,8
nutmeg,pimento,6
nutmeg,pelargonium_tomentosum,1
nutmeg,elder_flower,3
nutmeg,tahiti_vanilla,2
nutmeg,eucalyptus_cinereea,1
nutmeg,lime_peel_oil,2
nutmeg,tangerine,14
nutmeg,orchid,2
nutmeg,callitris,1
nutmeg,mint_oil,9
nutmeg,cypress_oil,1
nutmeg,niaouli_oil,1
nutmeg,monarda_fisulosa,1
nutmeg,pinus_sylvestris_oil,1
nutmeg,pine_oil,2
nutmeg,monarda_punctata,2
nutmeg,zanthoxylum_rhetsa_oil,1
nutmeg,angelica_root,3
nutmeg,safflower_seed,12
nutmeg,spanish_anise,1
nutmeg,malabar_cardamom_oil,1
nutmeg,cinnamon_leaf_oil,2
nutmeg,lime_juice,1
nutmeg,acacia_flower_oil,1
nutmeg,eucalyptus_maideni,1
nutmeg,neroli,3
nutmeg,cumin_fruit_oil,1
nutmeg,wild_bergamot,3
nutmeg,nepeta_japonica,1
nutmeg,lippia_scaberrima,1
nutmeg,lavandin,4
nutmeg,spanish_origanum_oil,1
nutmeg,cymbopogon_sennaarensis,1
nutmeg,japanese_calamus,1
nutmeg,lemon_oil,3
nutmeg,myrtaceae_oil,1
nutmeg,lilac,2
nutmeg,tea_tree_oil,2
nutmeg,satureia_montana,1
nutmeg,java_citronella,4
nutmeg,french_marigold_oil,1
nutmeg,daffodil_flower,2
nutmeg,cicuta_virosa_oil,1
nutmeg,lovage_leaf,1
nutmeg,siberian_pine_needle_oil,1
nutmeg,brazilian_sassafras_oil,2
nutmeg,japanese_peppermint_oil,1
nutmeg,cajeput_oil,2
nutmeg,laurel_leaf_oil,2
nutmeg,reunion_geranium,3
nutmeg,bulgarian_rose,3
nutmeg,micromeria_abyssinica,1
nutmeg,camphor_oil,4
nutmeg,french_peppermint_oil,1
nutmeg,mace,17
nutmeg,thymus_mastichina,1
nutmeg,betel,1
nutmeg,french_peppermint,11
nutmeg,bergamot,3
nutmeg,monkey_orange,12
nutmeg,california_orange,19
nutmeg,palm,2
nutmeg,cajeput,5
nutmeg,artemisia_santolinifolia_oil,1
nutmeg,ceylon_citronella,2
nutmeg,dill,14
nutmeg,eucalyptus_macarthurii,1
california_pepper,rose_wine,8
california_pepper,myrtleberry,8
california_pepper,parmesan_cheese,8
california_pepper,black_tea,17
california_pepper,japanese_mint,11
california_pepper,french_lavender,6
california_pepper,mastic_gum_leaf_oil,4
california_pepper,fennel,7
